% 1. Title: Trajetórias Manipuladas - As Originais
% 
% 2. Sources:
%      (a) Creator: Marcel Tolentino Pinheiro de Oliveira
%      (b) Date: June, 2013
% 
@RELATION trajectory

@ATTRIBUTE collar  STRING
@ATTRIBUTE longitude  NUMERIC
@ATTRIBUTE latitude   NUMERIC
@ATTRIBUTE day DATE "dd/MM/yy"
@ATTRIBUTE hour DATE "HH:mm:ss"

@DATA
0004,-054.722835,-20.44278,20/03/09,13:05:28
0004,-054.7228433333333334,-20.442895,20/03/09,13:10:23
0004,-054.7228683333333333,-20.44282,20/03/09,13:15:23
0004,-054.7228600000000001,-20.4428766666666667,20/03/09,13:20:24
0004,-054.7229733333333334,-20.4429933333333333,20/03/09,13:25:24
0004,-054.7228766666666666,-20.44292,20/03/09,13:30:25
0004,-054.7230383333333333,-20.44310333333333335,20/03/09,13:35:34
0004,-054.7228433333333334,-20.442845,20/03/09,13:40:24
0004,-054.7227049999999999,-20.44280833333333336,20/03/09,13:45:26
0004,-054.7228683333333333,-20.44286333333333333,20/03/09,13:50:30
0004,-054.7227383333333334,-20.4428033333333333,20/03/09,13:55:24
0004,-054.7227616666666666,-20.44279166666666664,20/03/09,14:00:27
0004,-054.722835,-20.4428016666666667,20/03/09,14:05:51
0004,-054.7228266666666666,-20.44280833333333336,20/03/09,14:10:37
0004,-054.7220466666666667,-20.442385,20/03/09,14:15:29
0004,-054.7232016666666666,-20.44289,20/03/09,14:20:56
0004,-054.723145,-20.44289,20/03/09,14:25:26
0004,-054.7229333333333333,-20.44290333333333337,20/03/09,14:30:24
0004,-054.72308,-20.44330833333333336,20/03/09,14:35:22
0004,-054.7233483333333334,-20.44367,20/03/09,14:40:19
0004,-054.7234533333333334,-20.4437583333333333,20/03/09,14:45:22
0004,-054.723445,-20.44355833333333333,20/03/09,14:50:21
0004,-054.7233566666666668,-20.44339666666666666,20/03/09,14:55:22
0004,-054.7233483333333334,-20.44345666666666667,20/03/09,15:00:21
0004,-054.7234783333333333,-20.44367833333333334,20/03/09,15:05:24
0004,-054.7235683333333333,-20.4436033333333333,20/03/09,15:10:24
0004,-054.7234616666666667,-20.443435,20/03/09,15:15:32
0004,-054.7231533333333334,-20.443365,20/03/09,15:20:22
0004,-054.7118249999999999,-20.44976333333333335,13/05/09,16:06:51
0004,-054.7120116666666667,-20.4499166666666667,13/05/09,16:21:43
0004,-054.7117749999999999,-20.44987666666666665,13/05/09,16:36:39
0004,-054.71184,-20.4499083333333333,13/05/09,16:51:47
0004,-054.7119300000000001,-20.4498833333333333,13/05/09,17:06:42
0004,-054.7119300000000001,-20.449895,13/05/09,17:21:51
0004,-054.7118983333333334,-20.44988833333333333,13/05/09,17:36:39
0004,-054.7118566666666666,-20.44989,13/05/09,17:51:39
0004,-054.711995,-20.4502083333333333,13/05/09,18:07:00
0004,-054.7119800000000001,-20.44983166666666663,13/05/09,18:33:21
0004,-054.7118983333333334,-20.4498333333333333,13/05/09,18:48:09
0004,-054.7225916666666666,-20.443125,13/05/09,19:03:17
0004,-054.7229500000000001,-20.44305,13/05/09,19:18:20
0004,-054.7264316666666667,-20.44338833333333333,13/05/09,19:33:09
0004,-054.7263666666666667,-20.44337499999999996,13/05/09,19:48:09
0004,-054.7263583333333333,-20.4433066666666667,13/05/09,20:03:09
0004,-054.7263666666666667,-20.4433616666666667,13/05/09,20:18:10
0004,-054.7263433333333332,-20.44334999999999997,13/05/09,20:33:10
0004,-054.7263750000000001,-20.4433683333333333,13/05/09,20:48:10
0004,-054.7263583333333333,-20.4433916666666667,13/05/09,21:03:09
0004,-054.7263583333333333,-20.44341,13/05/09,21:18:10
0004,-054.7263750000000001,-20.44342666666666664,13/05/09,21:33:10
0004,-054.7263666666666667,-20.44344666666666666,13/05/09,21:48:09
0004,-054.7263750000000001,-20.4433916666666667,13/05/09,22:03:09
0004,-054.7263350000000001,-20.4435966666666667,13/05/09,22:18:10
0004,-054.7263750000000001,-20.4435116666666667,13/05/09,22:33:10
0004,-054.7264083333333333,-20.4434366666666667,13/05/09,22:48:09
0004,-054.7264166666666667,-20.4433783333333333,13/05/09,23:03:10
0004,-054.72644,-20.4434066666666666,13/05/09,23:18:09
0004,-054.7264166666666667,-20.44340166666666664,13/05/09,23:33:09
0004,-054.7263583333333333,-20.44341833333333336,13/05/09,23:48:10
0004,-054.7263350000000001,-20.443365,14/05/09,00:03:10
0004,-054.7264083333333333,-20.44330833333333336,14/05/09,00:18:09
0004,-054.7264316666666667,-20.4433533333333333,14/05/09,00:33:11
0004,-054.7263350000000001,-20.4433783333333333,14/05/09,00:48:20
0004,-054.72657,-20.44344333333333336,14/05/09,01:03:12
0004,-054.7256266666666666,-20.4435,14/05/09,01:18:18
0004,-054.725105,-20.4436366666666667,14/05/09,01:33:06
0004,-054.7264316666666667,-20.44340166666666664,14/05/09,01:48:43
0004,-054.7264816666666667,-20.44332499999999997,14/05/09,02:02:43
0004,-054.7264649999999999,-20.44316833333333333,14/05/09,02:17:43
0004,-054.72657,-20.443365,14/05/09,02:32:43
0004,-054.7265783333333334,-20.4433783333333333,14/05/09,02:47:43
0004,-054.7263433333333332,-20.44334999999999997,14/05/09,03:02:42
0004,-054.72644,-20.44337,14/05/09,03:17:46
0004,-054.7263433333333332,-20.4435116666666667,14/05/09,03:33:23
0004,-054.7263750000000001,-20.443465,14/05/09,03:47:45
0004,-054.7263666666666667,-20.4435116666666667,14/05/09,04:02:44
0004,-054.7263833333333333,-20.443365,14/05/09,04:17:44
0004,-054.7262933333333332,-20.44347333333333333,14/05/09,04:32:53
0004,-054.7229333333333333,-20.443205,26/05/09,18:15:57
0004,-054.7228266666666666,-20.44280833333333336,26/05/09,18:30:42
0004,-054.7225183333333334,-20.44311666666666666,26/05/09,18:45:28
0004,-054.7230383333333333,-20.44205666666666665,26/05/09,19:01:02
0004,-054.7226883333333334,-20.44303333333333333,26/05/09,19:15:36
0004,-054.7226883333333334,-20.44283666666666666,26/05/09,19:30:12
0004,-054.7222983333333333,-20.44253,26/05/09,19:45:18
0004,-054.7225833333333332,-20.44283,26/05/09,20:00:10
0004,-054.7226566666666667,-20.4429133333333333,26/05/09,20:15:11
0004,-054.7226400000000001,-20.44290833333333335,26/05/09,20:30:03
0004,-054.722535,-20.442845,26/05/09,20:45:31
0004,-054.7226566666666667,-20.4429383333333333,26/05/09,21:00:20
0004,-054.7225666666666667,-20.44294666666666666,26/05/09,21:15:16
0004,-054.7225916666666666,-20.44288500000000003,26/05/09,21:30:18
0004,-054.72273,-20.4429233333333333,26/05/09,21:45:22
0004,-054.7228916666666667,-20.443015,26/05/09,22:00:45
0004,-054.7226066666666667,-20.44297,26/05/09,22:15:50
0004,-054.7226733333333333,-20.4429133333333333,26/05/09,22:30:10
0004,-054.7226400000000001,-20.44295,26/05/09,22:45:02
0004,-054.7225583333333333,-20.44301,26/05/09,23:00:12
0004,-054.7226316666666667,-20.44294666666666666,26/05/09,23:15:07
0004,-054.7226400000000001,-20.4429383333333333,26/05/09,23:30:04
0004,-054.72312,-20.442835,26/05/09,23:45:24
0004,-054.722535,-20.44292166666666666,27/05/09,00:00:04
0004,-054.7229333333333333,-20.442985,27/05/09,00:15:19
0004,-054.7230883333333333,-20.44297333333333333,27/05/09,00:30:18
0004,-054.7231533333333334,-20.44306,27/05/09,00:45:29
0004,-054.7229733333333334,-20.44293333333333335,27/05/09,01:00:17
0004,-054.7230383333333333,-20.44302499999999995,27/05/09,01:15:13
0004,-054.7228600000000001,-20.44295500000000004,27/05/09,01:30:44
0004,-054.7228916666666667,-20.442865,27/05/09,01:45:20
0004,-054.722965,-20.4428,27/05/09,02:00:04
0004,-054.7229733333333334,-20.4428,27/05/09,02:15:16
0004,-054.722795,-20.44287166666666666,27/05/09,02:30:14
0004,-054.72255,-20.44304,27/05/09,02:45:10
0004,-054.7226400000000001,-20.44297,27/05/09,03:00:05
0004,-054.7226733333333333,-20.44295666666666667,27/05/09,03:15:12
0004,-054.722535,-20.443015,27/05/09,03:30:54
0004,-054.7227616666666666,-20.4429,27/05/09,03:45:29
0004,-054.7224616666666667,-20.4431116666666667,27/05/09,04:00:34
0004,-054.7225016666666666,-20.4428033333333333,27/05/09,04:16:27
0004,-054.7226400000000001,-20.44300666666666666,27/05/09,04:30:21
0004,-054.7226966666666667,-20.44291166666666665,27/05/09,04:45:14
0004,-054.7226733333333333,-20.44294,27/05/09,05:00:51
0004,-054.7225833333333332,-20.44280833333333336,27/05/09,05:15:00
0004,-054.7225916666666666,-20.44277333333333335,27/05/09,05:30:12
0004,-054.7227049999999999,-20.4428933333333333,27/05/09,05:45:27
0004,-054.7226733333333333,-20.4430016666666667,27/05/09,06:00:08
0004,-054.72273,-20.4429666666666667,27/05/09,06:15:15
0004,-054.7226316666666667,-20.44293,27/05/09,06:30:23
0004,-054.7226733333333333,-20.44295500000000004,27/05/09,06:46:30
0004,-054.7226066666666667,-20.443175,27/05/09,07:00:15
0004,-054.7226733333333333,-20.443145,27/05/09,07:15:17
